entity_a,entity_b,relationship_type,strength
Miami Herald,Julie K. Brown,co-mentioned,2
Robert Giuffre,Mar-a-Lago,co-mentioned,2
Ghislaine Maxwell,Denise George,co-mentioned,2
Carolyn (Trial Witness),Jane (Trial Witness),co-mentioned,2
Jeffrey Epstein,Victoria's Secret,exploitation,2
Haley Robson,Jeffrey Epstein,co-mentioned,2
Demi Moore,Rupert Murdoch,co-mentioned,2
David Copperfield,George Mitchell,co-mentioned,2
Marvin Minsky,Bill Richardson,co-mentioned,2
Robert Giuffre,Ghislaine Maxwell,co-mentioned,2
Leslie Wexner,Victoria's Secret,ownership,2
Jeffrey Epstein,Miami Herald,co-mentioned,2
Marvin Minsky,Prince Andrew,co-mentioned,2
George Mitchell,Denise George,co-mentioned,2
Prince Andrew,Sigrid McCawley,co-mentioned,2
Harvey Weinstein,Ehud Barak,co-mentioned,2
Adriana Ross,Sarah Kellen,co-mentioned,2
Virginia Giuffre,Sigrid McCawley,co-mentioned,2
Donald Trump,Jean-Luc Brunel,co-mentioned,2
Palm Beach Mansion,Ghislaine Maxwell,co-mentioned,2
Southern District of New York (SDNY),Federal Bureau of Investigation,co-mentioned,2
Kate (Trial Witness),Ghislaine Maxwell,co-mentioned,2
Bill Richardson,Denise George,co-mentioned,2
Prince Andrew,Michael Jackson,co-mentioned,2
Harvey Weinstein,Alan Dershowitz,co-mentioned,2
Ghislaine Maxwell,Federal Bureau of Investigation,co-mentioned,2
Donald Trump,Mar-a-Lago,co-mentioned,2
Jeffrey Epstein,Harvard University,beneficiary,2
Rupert Murdoch,Michael Jackson,co-mentioned,2
Jeffrey Epstein,Michael Reiter,co-mentioned,2
Harvey Weinstein,Leslie Wexner,co-mentioned,2
Harvey Weinstein,Noam Chomsky,co-mentioned,2
Harvey Weinstein,Peter Mandelson,co-mentioned,2
Harvey Weinstein,Tom Barrack,co-mentioned,2
Harvey Weinstein,Stephen Hawking,co-mentioned,2
Harvey Weinstein,Naomi Campbell,co-mentioned,2
Harvey Weinstein,Demi Moore,co-mentioned,2
Harvey Weinstein,Henry Kissinger,co-mentioned,2
Harvey Weinstein,Tony Blair,co-mentioned,2
Harvey Weinstein,Sergey Brin,co-mentioned,2
Harvey Weinstein,Woody Allen,co-mentioned,2
Harvey Weinstein,Itzhak Perlman,co-mentioned,2
Harvey Weinstein,Rupert Murdoch,co-mentioned,2
Harvey Weinstein,Michael Jackson,co-mentioned,2
Palm Beach Mansion,Joseph Recarey,co-mentioned,2
Bill Clinton,Noam Chomsky,co-mentioned,2
Leslie Wexner,Manhattan Townhouse,co-mentioned,2
Bill Clinton,Peter Mandelson,co-mentioned,2
Bill Clinton,Tom Barrack,co-mentioned,2
Leslie Wexner,L Brands,co-mentioned,2
